experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
118,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,282625.0,5.451210575353416,755.8502666641959,738.1313380916208,380.709899077819,510.8642168982162,1143.4875537286966,977.5414068586938,1224.1477654708362
119,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,321738.0,5.5075023578111715,618.83197845106,606.0828864203927,296.1523310802367,430.2765165509488,939.5369538786094,821.4252644265127,1018.7394775426478
120,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,339522.0,5.530867920498832,688.5650519656027,691.7950263303879,415.2849025797825,548.4764990147919,952.284954990289,839.7944920705283,1010.3721016137245
121,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,169299.0,5.228654392865199,555.2861632768441,521.6604420238784,276.54264567309605,379.9971793692855,870.7139646945297,701.4795334495172,976.9072633135893
122,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,149588.0,5.174896755675416,681.4214038680185,635.7074640323034,325.6689253461493,435.1837576732732,1144.5710621957367,894.1717242367579,1228.7190151138325
123,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,117757.0,5.070986732964536,637.824124738554,649.861283038901,297.2212297420877,422.7217201883755,974.6373432485477,817.2980614460063,1075.3077400357574
124,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,225599.0,5.353337170242845,617.8733527832933,611.1744219247842,293.1902165977142,421.30509650404406,967.0559654137327,787.1298697058323,1041.1613849299383
125,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,197349.0,5.295234930095192,721.3298123033786,706.9254726110878,380.39556172671774,545.4063536307906,1105.940713274449,882.3641159850251,1153.1389008155497
126,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,226629.0,5.355315482465272,569.3595629016528,529.2592994004609,274.8197805923579,388.3039236314002,907.0738615876339,769.9004705145414,1003.3140131264585
127,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,83178.0,4.920008473622011,708.3822113436019,698.3192204319228,430.62193323966187,536.368340768975,973.1776827021384,871.8698332883454,1109.690276227978
128,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,212137.0,5.326616422851385,713.2495195471523,683.6570534905884,405.2148238225064,496.418932511507,1058.4772451830468,921.5853650177926,1117.5739940646176
129,control,in_SF,distances_VD,P5_P6,1.0,5.0,6.0,5000.0,202532.0,5.306493651380162,752.0411814089796,718.3208728930588,490.2362537364994,586.1129620871183,1076.8340279980998,894.7881398158734,1169.396753295979
130,control,in_SF,distances_VD,P5_P9,4.0,5.0,9.0,5000.0,196221.0,5.292745484675283,852.8325582971274,836.6295141646344,504.6080470286286,624.2309145156671,1215.381337535816,1062.5126015015478,1341.2664941941891
1,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,26932.0,4.4302686057959075,1580.7266222005828,1584.067333253399,1346.5269620779425,1488.5112348808625,1780.7231191459962,1690.9527141352373,1830.018868903353
2,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,28944.0,4.461558549515739,1763.8817286696187,1753.4053083365663,1585.1494032452042,1662.2728832210778,1945.0296459860979,1869.313705787326,1998.2226750629611
3,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,96052.0,4.982506412195327,1525.352952662688,1548.1754120796347,1215.0939306556593,1363.5693773285748,1792.2048563012638,1693.7625203688192,1869.221458328648
5,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,6224.0,3.7940695839816323,1483.9276096049148,1454.58383101983,1364.541023902386,1417.0557815042748,1629.7043296474908,1573.2142952269958,1649.1415192512613
6,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,63581.0,4.803327354202639,1577.049128516797,1560.810377078398,1437.0517914,1489.5689309655913,1741.357906125385,1657.656268136534,1792.444861945863
7,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,61578.0,4.789425579288369,1640.8352568554285,1654.9024165829032,1440.9219533637838,1529.9526342124598,1837.9994077709418,1763.0351308929928,1887.4151666261928
8,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,94089.0,4.973538852773219,1498.0945246299852,1510.5710824019275,1298.3479964358407,1405.882941918546,1662.4440002983674,1590.7698803474616,1707.8377902410682
